,en,en_perso,fr,fr_perso,es,de,se
aa,0.021315,0.00089,0.03016,0.00068,0.30181,0.0481,0.1238
ab,0.216365,0.22765,0.1772,0.12709,0.38295,0.34637,0.15317
ac,0.430915,0.53431,0.39813,0.42273,0.95597,0.2746,0.08356
ad,0.356005,0.39772,0.19682,0.08631,1.43476,0.1217,0.70622
ae,0.015635,0.02076,0.04125,0.00612,0.45436,0.02306,0.08482
af,0.103045,0.0982,0.11576,0.03636,0.15573,0.13047,0.20133
ag,0.20422,0.20511,0.24665,0.19879,0.16351,0.34539,0.28919
ah,0.03255,0.00759,0.01989,0.01767,0.11934,0.24503,0.09035
ai,0.319815,0.38478,0.81282,1.60937,0.18087,0.07415,0.12739
aj,0.01594,0.00558,0.02776,0.0299,0.11895,0.00382,0.03194
ak,0.111755,0.12677,0.01731,0.01257,0.01531,0.08291,0.24605
al,0.985565,1.05836,0.62126,0.54031,1.33221,0.61816,0.67951
am,0.327165,0.26046,0.27124,0.15496,0.52853,0.35149,0.53664
an,1.799385,1.8855,1.28698,1.34975,1.23958,1.06569,1.75022
ao,0.01098,0.00268,0.01779,0.00204,0.08367,0.00435,0.11077
ap,0.200335,0.20444,0.36327,0.19403,0.47383,0.05427,0.19329
aq,0.004765,0.00067,0.04494,0.03602,0.15793,0.00178,0.00159
ar,1.02718,0.98627,0.881,0.81318,1.42873,0.53914,1.61353
as,0.87233,0.76085,0.38263,0.67691,1.55789,0.6008,0.61152
at,1.301565,1.42729,0.63812,0.52366,0.42066,0.44265,0.90933
au,0.11599,0.09865,0.6015,0.76187,0.22232,0.88872,0.10249
av,0.19831,0.29037,0.30029,0.50633,0.17736,0.02944,0.58866
aw,0.075275,0.04821,0.00819,0.00544,0.00423,0.01674,0.01192
ax,0.01706,0.0741,0.01244,0.01155,0.00695,0.01246,0.01729
ay,0.241925,0.1906,0.05469,0.04078,0.23584,0.02031,0.02099
az,0.01482,0.00402,0.01781,0.00782,0.08457,0.0315,0.01324
aé,0,0,0.03506,0.0051,0,0,0
aè,0,0,0.00069,0,0,0,0
aê,0,0,0.00055,0,0,0,0
aà,0,0,0.00817,0,0,0,0
aç,0,0,0.00903,0.01155,0,0,0
aâ,0,0,0.00011,0,0,0,0
aî,0,0,0.02761,0.02888,0,0,0
aô,0,0,0.00026,0,0,0,0
a.,0,0.0462,0,0.03228,0,0,0
"a,",0,0.01562,0,0.0333,0,0,0
a-,0,0.01428,0,0.01291,0,0,0
a',0,0.00089,0,0,0,0,0
a/,0,0.00246,0,0.00068,0,0,0
ba,0.175635,0.11182,0.14735,0.13797,0.3059,0.20345,0.19998
bb,0.013435,0.00692,0.00764,0.00476,0.00401,0.01239,0.04102
bc,0.00465,0.00201,0.00213,0.00136,0.00277,0.00278,0.00185
